Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.ForkAwesome 6.2.1,,,,,"MahApps.Metro.IconPacks.ForkAwesome, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.ForkAwesome, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.GameIcons 6.2.1,,,,,"MahApps.Metro.IconPacks.GameIcons, 6.2.1  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.Ionicons 6.2.1,,,,,"MahApps.Metro.IconPacks.Ionicons, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.Ionicons, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.JamIcons 6.2.1,,,,,"MahApps.Metro.IconPacks.JamIcons, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.JamIcons, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.KeyruneIcons 6.2.1,,,,,"MahApps.Metro.IconPacks.KeyruneIcons, 6.2.1  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.Lucide 6.2.1,,,,,"MahApps.Metro.IconPacks.Lucide, 6.2.1  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.Material 6.2.1,,,,,"MahApps.Metro.IconPacks.Material, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.Material, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.MaterialDesign 6.2.1,,,,,"MahApps.Metro.IconPacks.MaterialDesign, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.MaterialDesign, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.MaterialLight 6.2.1,,,,,"MahApps.Metro.IconPacks.MaterialLight, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.MaterialLight, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.MemoryIcons 6.2.1,,,,,"MahApps.Metro.IconPacks.MemoryIcons, 6.2.1  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.Microns 6.2.1,,,,,"MahApps.Metro.IconPacks.Microns, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.Microns, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.MingCuteIcons 6.2.1,,,,,"MahApps.Metro.IconPacks.MingCuteIcons, 6.2.1  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.Modern 6.2.1,,,,,"MahApps.Metro.IconPacks.Modern, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.Modern, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.MynaUIIcons 6.2.1,,,,,"MahApps.Metro.IconPacks.MynaUIIcons, 6.2.1  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.Octicons 6.2.1,,,,,"MahApps.Metro.IconPacks.Octicons, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.Octicons, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.PhosphorIcons 6.2.1,,,,,"MahApps.Metro.IconPacks.PhosphorIcons, 6.2.1  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.PicolIcons 6.2.1,,,,,"MahApps.Metro.IconPacks.PicolIcons, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.PicolIcons, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.PixelartIcons 6.2.1,,,,,"MahApps.Metro.IconPacks.PixelartIcons, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.PixelartIcons, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.RadixIcons 6.2.1,,,,,"MahApps.Metro.IconPacks.RadixIcons, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.RadixIcons, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.RemixIcon 6.2.1,,,,,"MahApps.Metro.IconPacks.RemixIcon, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.RemixIcon, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.RPGAwesome 6.2.1,,,,,"MahApps.Metro.IconPacks.RPGAwesome, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.RPGAwesome, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.SimpleIcons 6.2.1,,,,,"MahApps.Metro.IconPacks.SimpleIcons, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.SimpleIcons, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.Typicons 6.2.1,,,,,"MahApps.Metro.IconPacks.Typicons, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.Typicons, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.Unicons 6.2.1,,,,,"MahApps.Metro.IconPacks.Unicons, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.Unicons, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.VaadinIcons 6.2.1,,,,,"MahApps.Metro.IconPacks.VaadinIcons, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.VaadinIcons, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.WeatherIcons 6.2.1,,,,,"MahApps.Metro.IconPacks.WeatherIcons, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.WeatherIcons, 4.11.0"
